in:Top Thickness [in],in:Spacing [in],in:Water Temp [F],in: Solar Flux [BTU/sf],out:Slab Flux,out:Convect Flux,out:Rad Flux,out:Cold Temp,out:Deg Condensing,out:Deg Cond No Sun,img
2,4,50,0,26.261253,6.878046,19.383207,53.34989,-1.61811,-1.61811,NCGMtherm20500_View2.png
3,4,50,0,25.181401,6.718443,18.462957,54.76982,-0.19818,-0.19818,NCGMtherm30500_View2.png
4,4,50,0,24.203635,6.5437,17.659935,55.806548,0.838548,0.838548,NCGMtherm40500_View2.png
2,8,50,0,22.095065,5.990879,16.104186,54.81059,-0.15741,-0.15741,NCGMtherm21500_View2.png
3,8,50,0,21.496529,6.026938,15.469591,56.629796,1.661796,1.661796,NCGMtherm31500_View2.png
4,8,50,0,20.80358,5.84945,14.954131,57.775532,2.807532,2.807532,NCGMtherm41500_View2.png
2,12,50,0,18.187469,4.804395,13.383074,55.637348,0.669348,0.669348,NCGMtherm22500_View2.png
3,12,50,0,18.085455,4.867997,13.217458,57.807536,2.839536,2.839536,NCGMtherm32500_View2.png
4,12,50,0,17.695579,4.850872,12.844708,59.188496,4.220496,4.220496,NCGMtherm42500_View2.png
2,16,50,0,14.976051,4.294868,10.681183,55.994828,1.026828,1.026828,NCGMtherm23500_View2.png
3,16,50,0,15.188087,4.189264,10.998823,58.461242,3.493242,3.493242,NCGMtherm33500_View2.png
4,16,50,0,15.037837,4.097018,10.940819,60.087776,5.119776,5.119776,NCGMtherm43500_View2.png
2,24,50,0,10.638223,2.847499,7.790724,56.404454,1.436454,1.436454,NCGMtherm24500_View2.png
3,24,50,0,11.050466,2.995206,8.05526,59.106704,4.138704,4.138704,NCGMtherm34500_View2.png
4,24,50,0,11.134661,3.063713,8.070948,60.89666,5.92866,5.92866,NCGMtherm44500_View2.png
2,4,51,0,25.097967,6.563567,18.5344,54.202532,-0.765468,-0.765468,NCGMtherm20510_View2.png
3,4,51,0,24.062199,6.411063,17.651136,55.5593,0.5913,0.5913,NCGMtherm30510_View2.png
4,4,51,0,23.124994,6.244206,16.880788,56.549516,1.581516,1.581516,NCGMtherm40510_View2.png
2,8,51,0,21.10931,5.716306,15.393004,55.596992,0.628992,0.628992,NCGMtherm21510_View2.png
3,8,51,0,20.535561,5.75074,14.78482,57.334604,2.366604,2.366604,NCGMtherm31510_View2.png
4,8,51,0,19.871647,5.581404,14.290243,58.428608,3.460608,3.460608,NCGMtherm41510_View2.png
2,12,51,0,17.37145,4.583996,12.787454,56.385608,1.417608,1.417608,NCGMtherm22510_View2.png
3,12,51,0,17.272479,4.644711,12.627768,58.457984,3.489984,3.489984,NCGMtherm32510_View2.png
4,12,51,0,16.899656,4.628435,12.271221,59.776412,4.808412,4.808412,NCGMtherm42510_View2.png
2,16,51,0,14.302005,4.098057,10.203947,56.726294,1.758294,1.758294,NCGMtherm23510_View2.png
3,16,51,0,14.503541,3.997182,10.506359,59.081198,4.113198,4.113198,NCGMtherm33510_View2.png
4,16,51,0,14.359595,3.909161,10.450434,60.633986,5.665986,5.665986,NCGMtherm43510_View2.png
2,24,51,0,10.158284,2.717044,7.441241,57.116984,2.148984,2.148984,NCGMtherm24510_View2.png
3,24,51,0,10.551142,2.857976,7.693165,59.6966,4.7286,4.7286,NCGMtherm34510_View2.png
4,24,51,0,10.631025,2.923374,7.707651,61.405052,6.437052,6.437052,NCGMtherm44510_View2.png
2,4,52,0,23.932004,6.249316,17.682688,55.05458,0.08658,0.08658,NCGMtherm20520_View2.png
3,4,52,0,22.940694,6.103926,16.836768,56.348042,1.380042,1.380042,NCGMtherm30520_View2.png
4,4,52,0,22.044018,5.944959,16.099059,57.291692,2.323692,2.323692,NCGMtherm40520_View2.png
2,8,52,0,20.122061,5.441997,14.680064,56.382764,1.414764,1.414764,NCGMtherm21520_View2.png
3,8,52,0,19.573009,5.474806,14.098203,58.03871,3.07071,3.07071,NCGMtherm31520_View2.png
4,8,52,0,18.938576,5.313612,13.624964,59.080946,4.112946,4.112946,NCGMtherm41520_View2.png
2,12,52,0,16.555164,4.36383,12.191334,57.133292,2.165292,2.165292,NCGMtherm22520_View2.png
3,12,52,0,16.459825,4.421658,12.038166,59.10782,4.13982,4.13982,NCGMtherm32520_View2.png
4,12,52,0,16.1031,4.406224,11.696876,60.363698,5.395698,5.395698,NCGMtherm42520_View2.png
2,16,52,0,13.628287,3.901432,9.726854,57.457238,2.489238,2.489238,NCGMtherm23520_View2.png
3,16,52,0,13.818387,3.805291,10.013095,59.700632,4.732632,4.732632,NCGMtherm33520_View2.png
4,16,52,0,13.680753,3.721494,9.959259,61.179656,6.211656,6.211656,NCGMtherm43520_View2.png
2,24,52,0,9.678544,2.586709,7.091835,57.829064,2.861064,2.861064,NCGMtherm24520_View2.png
3,24,52,0,10.051904,2.720875,7.33103,60.286046,5.318046,5.318046,NCGMtherm34520_View2.png
4,24,52,0,10.127516,2.783163,7.344352,61.91303,6.94503,6.94503,NCGMtherm44520_View2.png
2,4,53,0,22.762949,5.935182,16.827766,55.906304,0.938304,0.938304,NCGMtherm20530_View2.png
3,4,53,0,21.816694,5.796922,16.019772,57.136352,2.168352,2.168352,NCGMtherm30530_View2.png
4,4,53,0,20.961171,5.645854,15.315317,58.033346,3.065346,3.065346,NCGMtherm40530_View2.png
2,8,53,0,19.132568,5.167851,13.964716,57.168212,2.200212,2.200212,NCGMtherm21530_View2.png
3,8,53,0,18.608754,5.199034,13.409719,58.742366,3.774366,3.774366,NCGMtherm31530_View2.png
4,8,53,0,18.003964,5.045977,12.957987,59.73278,4.76478,4.76478,NCGMtherm41530_View2.png
2,12,53,0,15.73717,4.143816,11.593353,57.880706,2.912706,2.912706,NCGMtherm22530_View2.png
3,12,53,0,15.64545,4.198755,11.446694,59.75726,4.78926,4.78926,NCGMtherm32530_View2.png
4,12,53,0,15.305447,4.184158,11.121289,60.950552,5.982552,5.982552,NCGMtherm42530_View2.png
2,16,53,0,12.953046,3.704924,9.248122,58.187948,3.219948,3.219948,NCGMtherm23530_View2.png
3,16,53,0,13.1334,3.613527,9.519873,60.319742,5.351742,5.351742,NCGMtherm33530_View2.png
4,16,53,0,13.001377,3.533949,9.467428,61.724966,6.756966,6.756966,NCGMtherm43530_View2.png
2,24,53,0,9.198341,2.456448,6.741893,58.54091,3.57291,3.57291,NCGMtherm24530_View2.png
3,24,53,0,9.552287,2.583851,6.968436,60.875222,5.907222,5.907222,NCGMtherm34530_View2.png
4,24,53,0,9.623539,2.643031,6.980508,62.42072,7.45272,7.45272,NCGMtherm44530_View2.png
2,4,54,0,21.591333,5.621278,15.970056,56.757434,1.789434,1.789434,NCGMtherm20540_View2.png
3,4,54,0,20.690411,5.490162,15.200249,57.923906,2.955906,2.955906,NCGMtherm30540_View2.png
4,4,54,0,19.876356,5.346996,14.529361,58.774208,3.806208,3.806208,NCGMtherm40540_View2.png
2,8,54,0,18.141665,4.89397,13.247696,57.953048,2.985048,2.985048,NCGMtherm21540_View2.png
3,8,54,0,17.643062,4.923525,12.719537,59.445302,4.477302,4.477302,NCGMtherm31540_View2.png
4,8,54,0,17.068236,4.778595,12.289641,60.383894,5.415894,5.415894,NCGMtherm41540_View2.png
2,12,54,0,14.918445,3.924034,10.994412,58.627562,3.659562,3.659562,NCGMtherm22540_View2.png
3,12,54,0,14.830364,3.976086,10.854279,60.406088,5.438088,5.438088,NCGMtherm32540_View2.png
4,12,54,0,14.507251,3.962316,10.544935,61.536776,6.568776,6.568776,NCGMtherm42540_View2.png
2,16,54,0,12.277155,3.508601,8.768554,58.918172,3.950172,3.950172,NCGMtherm23540_View2.png
3,16,54,0,12.44738,3.421954,9.025426,60.938294,5.970294,5.970294,NCGMtherm33540_View2.png
4,16,54,0,12.321709,3.346591,8.975118,62.269718,7.301718,7.301718,NCGMtherm43540_View2.png
2,24,54,0,8.71722,2.326307,6.390912,59.252306,4.284306,4.284306,NCGMtherm24540_View2.png
3,24,54,0,9.052258,2.446957,6.605301,61.46393,6.49593,6.49593,NCGMtherm34540_View2.png
4,24,54,0,9.11924,2.503027,6.616213,62.927996,7.959996,7.959996,NCGMtherm44540_View2.png
2,4,55,0,20.416502,5.307491,15.109011,57.608258,2.640258,2.640258,NCGMtherm20550_View2.png
3,4,55,0,19.561389,5.183534,14.377856,58.711028,3.743028,3.743028,NCGMtherm30550_View2.png
4,4,55,0,18.789359,5.048279,13.74108,59.514566,4.546566,4.546566,NCGMtherm40550_View2.png
2,8,55,0,17.148923,4.620253,12.52867,58.737542,3.769542,3.769542,NCGMtherm21550_View2.png
3,8,55,0,16.675861,4.648179,12.027683,60.147788,5.179788,5.179788,NCGMtherm31550_View2.png
4,8,55,0,16.131066,4.51137,11.619696,61.034504,6.066504,6.066504,NCGMtherm41550_View2.png
2,12,55,0,14.098406,3.704402,10.394004,59.374112,4.406112,4.406112,NCGMtherm22550_View2.png
3,12,55,0,14.014209,3.753565,10.260644,61.05452,6.08652,6.08652,NCGMtherm32550_View2.png
4,12,55,0,13.708089,3.74062,9.967469,62.122586,7.154586,7.154586,NCGMtherm42550_View2.png
2,16,55,0,11.600716,3.289746,8.310971,59.648144,4.680144,4.680144,NCGMtherm23550_View2.png
3,16,55,0,11.760712,3.230504,8.530208,61.55654,6.58854,6.58854,NCGMtherm33550_View2.png
4,16,55,0,11.64152,3.151397,8.490123,62.814128,7.846128,7.846128,NCGMtherm43550_View2.png
2,24,55,0,8.236205,2.196243,6.039962,59.963468,4.995468,4.995468,NCGMtherm24550_View2.png
3,24,55,0,8.551813,2.310141,6.241672,62.052404,7.084404,7.084404,NCGMtherm34550_View2.png
4,24,55,0,8.614553,2.3631,6.251453,63.434984,8.466984,8.466984,NCGMtherm44550_View2.png
2,4,56,0,19.239113,4.993933,14.24518,58.458452,3.490452,3.490452,NCGMtherm20560_View2.png
3,4,56,0,18.430303,4.87715,13.553152,59.497412,4.529412,4.529412,NCGMtherm30560_View2.png
4,4,56,0,17.700705,4.749809,12.950896,60.25415,5.28615,5.28615,NCGMtherm40560_View2.png
2,8,56,0,16.154466,4.3468,11.807666,59.521424,4.553424,4.553424,NCGMtherm21560_View2.png
3,8,56,0,15.707222,4.373096,11.334127,60.849572,5.881572,5.881572,NCGMtherm31560_View2.png
4,8,56,0,15.19269,4.244398,10.948292,61.684376,6.716376,6.716376,NCGMtherm41560_View2.png
2,12,56,0,13.277507,3.485002,9.792506,60.120122,5.152122,5.152122,NCGMtherm22560_View2.png
3,12,56,0,13.197252,3.531277,9.665975,61.702322,6.734322,6.734322,NCGMtherm32560_View2.png
4,12,56,0,12.908189,3.519147,9.389042,62.707748,7.739748,7.739748,NCGMtherm42560_View2.png
2,16,56,0,10.923802,3.071218,7.852584,60.377612,5.409612,5.409612,NCGMtherm23560_View2.png
3,16,56,0,11.073636,3.039248,8.034388,62.174246,7.206246,7.206246,NCGMtherm33560_View2.png
4,16,56,0,10.960847,2.964821,7.996026,63.357998,8.389998,8.389998,NCGMtherm43560_View2.png
2,24,56,0,7.754768,2.066298,5.68847,60.67418,5.70618,5.70618,NCGMtherm24560_View2.png
3,24,56,0,8.051073,2.173452,5.877621,62.640392,7.672392,7.672392,NCGMtherm34560_View2.png
4,24,56,0,8.109863,2.223301,5.886561,63.941558,8.973558,8.973558,NCGMtherm44560_View2.png
2,4,57,0,18.058639,4.680492,13.378147,59.30834,4.34034,4.34034,NCGMtherm20570_View2.png
