in:Orientation (deg),in:Sill (ft),in:Overhang (ft),in:Roof Angle (deg),in:Ceiling (ft),out:EUI (kBTU/ft2),out:Hrs of Glare,out:Daylit Flr Area (%),out:peakCool(BTU/hr),out: Peak Heat (BTU/hr),img
0,0,0,0,10,45.708272,2.635616,90.66667,6614.47754,2316.69308,"orientation,0_sill,0_overhang,0_roofAngle,0_ceilingHeight,10__CaptureView.png"
10,0,0,0,10,45.999587,2.868494,83.33333,6604.57111,2316.69307,"orientation,10_sill,0_overhang,0_roofAngle,0_ceilingHeight,10__CaptureView.png"
20,0,0,0,10,45.845164,3.016438,82.66665,6460.72088,2316.69313,"orientation,20_sill,0_overhang,0_roofAngle,0_ceilingHeight,10__CaptureView.png"
0,3,0,0,10,38.648544,2.641096,98.000004,5104.31496,2010.90309,"orientation,0_sill,3_overhang,0_roofAngle,0_ceilingHeight,10__CaptureView.png"
10,3,0,0,10,38.781425,2.879453,84.666664,5097.92074,2010.90308,"orientation,10_sill,3_overhang,0_roofAngle,0_ceilingHeight,10__CaptureView.png"
20,3,0,0,10,38.589739,3.027397,82.66665,4997.26648,2010.90314,"orientation,20_sill,3_overhang,0_roofAngle,0_ceilingHeight,10__CaptureView.png"
0,0,2,0,10,42.714053,2.345205,96.000004,5945.6864,2302.64484,"orientation,0_sill,0_overhang,2_roofAngle,0_ceilingHeight,10__CaptureView.png"
10,0,2,0,10,42.730783,2.454795,91.33333,5901.53594,2302.36693,"orientation,10_sill,0_overhang,2_roofAngle,0_ceilingHeight,10__CaptureView.png"
20,0,2,0,10,42.26843,2.558903,90.666649,5716.01015,2302.36699,"orientation,20_sill,0_overhang,2_roofAngle,0_ceilingHeight,10__CaptureView.png"
0,3,2,0,10,35.757375,2.345205,100.000004,4417.73064,1997.39047,"orientation,0_sill,3_overhang,2_roofAngle,0_ceilingHeight,10__CaptureView.png"
10,3,2,0,10,35.631493,2.454795,99.999996,4377.6624,1997.16483,"orientation,10_sill,3_overhang,2_roofAngle,0_ceilingHeight,10__CaptureView.png"
20,3,2,0,10,35.17413,2.558903,99.999982,4236.14075,1997.16489,"orientation,20_sill,3_overhang,2_roofAngle,0_ceilingHeight,10__CaptureView.png"
0,0,4,0,10,39.907145,1.961644,100.000004,5253.5011,2291.33336,"orientation,0_sill,0_overhang,4_roofAngle,0_ceilingHeight,10__CaptureView.png"
10,0,4,0,10,39.723113,2.035617,99.999996,5196.00667,2291.17556,"orientation,10_sill,0_overhang,4_roofAngle,0_ceilingHeight,10__CaptureView.png"
20,0,4,0,10,39.097486,2.073972,98.66665,4999.60027,2291.17562,"orientation,20_sill,0_overhang,4_roofAngle,0_ceilingHeight,10__CaptureView.png"
0,3,4,0,10,33.119146,1.961644,100.000004,3739.97438,1987.67182,"orientation,0_sill,3_overhang,4_roofAngle,0_ceilingHeight,10__CaptureView.png"
10,3,4,0,10,32.849569,2.035617,99.999996,3688.39074,1987.57951,"orientation,10_sill,3_overhang,4_roofAngle,0_ceilingHeight,10__CaptureView.png"
20,3,4,0,10,32.281236,2.073972,99.999982,3544.81461,1987.57956,"orientation,20_sill,3_overhang,4_roofAngle,0_ceilingHeight,10__CaptureView.png"
0,0,6,0,10,37.366075,1.742466,100.000004,4598.37357,2283.15363,"orientation,0_sill,0_overhang,6_roofAngle,0_ceilingHeight,10__CaptureView.png"
10,0,6,0,10,37.069047,1.783562,99.999996,4534.22669,2283.10642,"orientation,10_sill,0_overhang,6_roofAngle,0_ceilingHeight,10__CaptureView.png"
20,0,6,0,10,36.353808,1.841095,99.999982,4346.44084,2283.10649,"orientation,20_sill,0_overhang,6_roofAngle,0_ceilingHeight,10__CaptureView.png"
0,3,6,0,10,30.868311,1.742466,99.333337,3136.85246,1981.21438,"orientation,0_sill,3_overhang,6_roofAngle,0_ceilingHeight,10__CaptureView.png"
10,3,6,0,10,30.534243,1.783562,99.999996,3081.60743,1981.13504,"orientation,10_sill,3_overhang,6_roofAngle,0_ceilingHeight,10__CaptureView.png"
20,3,6,0,10,29.957358,1.841095,99.999982,2952.51076,1981.1351,"orientation,20_sill,3_overhang,6_roofAngle,0_ceilingHeight,10__CaptureView.png"
0,0,8,0,10,35.1635,1.610959,99.333337,4002.88141,2277.13138,"orientation,0_sill,0_overhang,8_roofAngle,0_ceilingHeight,10__CaptureView.png"
10,0,8,0,10,34.77337,1.515069,99.999996,3932.14299,2277.01857,"orientation,10_sill,0_overhang,8_roofAngle,0_ceilingHeight,10__CaptureView.png"
20,0,8,0,10,34.045759,1.506849,99.999982,3763.14669,2277.01863,"orientation,20_sill,0_overhang,8_roofAngle,0_ceilingHeight,10__CaptureView.png"
0,3,8,0,10,28.998589,1.610959,95.333336,2630.44782,1976.61507,"orientation,0_sill,3_overhang,8_roofAngle,0_ceilingHeight,10__CaptureView.png"
10,3,8,0,10,28.687927,1.515069,95.999997,2583.5921,1976.62005,"orientation,10_sill,3_overhang,8_roofAngle,0_ceilingHeight,10__CaptureView.png"
20,3,8,0,10,28.207835,1.506849,97.333317,2485.90878,1976.62011,"orientation,20_sill,3_overhang,8_roofAngle,0_ceilingHeight,10__CaptureView.png"
0,0,10,0,10,33.304897,1.361644,97.333337,3498.29951,2272.6909,"orientation,0_sill,0_overhang,10_roofAngle,0_ceilingHeight,10__CaptureView.png"
10,0,10,0,10,32.826918,1.29863,96.666664,3414.12424,2272.62006,"orientation,10_sill,0_overhang,10_roofAngle,0_ceilingHeight,10__CaptureView.png"
20,0,10,0,10,32.144742,1.271233,99.333316,3266.71617,2272.62012,"orientation,20_sill,0_overhang,10_roofAngle,0_ceilingHeight,10__CaptureView.png"
0,3,10,0,10,27.582723,1.361644,86.000002,2226.21218,1973.68117,"orientation,0_sill,3_overhang,10_roofAngle,0_ceilingHeight,10__CaptureView.png"
10,3,10,0,10,27.309006,1.29863,86.666664,2197.30224,1973.64013,"orientation,10_sill,3_overhang,10_roofAngle,0_ceilingHeight,10__CaptureView.png"
20,3,10,0,10,27.010567,1.271233,91.999986,2138.35274,1973.64019,"orientation,20_sill,3_overhang,10_roofAngle,0_ceilingHeight,10__CaptureView.png"
0,0,0,5,10,45.633676,2.635616,90.66667,6702.10234,2332.52793,"orientation,0_sill,0_overhang,0_roofAngle,5_ceilingHeight,10__CaptureView.png"
10,0,0,5,10,45.923282,2.868494,83.33333,6694.36109,2332.52792,"orientation,10_sill,0_overhang,0_roofAngle,5_ceilingHeight,10__CaptureView.png"
20,0,0,5,10,45.766766,3.016438,82.66665,6548.92803,2332.52798,"orientation,20_sill,0_overhang,0_roofAngle,5_ceilingHeight,10__CaptureView.png"
0,3,0,5,10,38.523643,2.641096,98.000004,5161.50004,2024.88118,"orientation,0_sill,3_overhang,0_roofAngle,5_ceilingHeight,10__CaptureView.png"
10,3,0,5,10,38.673355,2.879453,84.666664,5159.24529,2024.88117,"orientation,10_sill,3_overhang,0_roofAngle,5_ceilingHeight,10__CaptureView.png"
20,3,0,5,10,38.472874,3.027397,82.66665,5057.08431,2024.88123,"orientation,20_sill,3_overhang,0_roofAngle,5_ceilingHeight,10__CaptureView.png"
