in:GlzRatio,in:Orientation,in:HVAC,in:SHGC,in:ShadeType,in:UValue(IP),out:PeakCool,out:PeakHeat,out:HVACSize,out:EUI,img
0.2,E,VAV,0.15,None,0.25,4097.491022,2062.714785,4097.491022,47.982153,90_0_0.2_0.15_0.25_0_12.355948_15.644166_19.982039_4097.491022_2062.714785_4097.491022_47.982153.png
0.2,E,Hydr,0.15,None,0.25,4097.491022,2062.714785,4097.491022,27.00981,90_1_0.2_0.15_0.25_0_3.823441_6.039122_17.147246_4097.491022_2062.714785_4097.491022_27.00981.png
0.3,E,VAV,0.15,None,0.25,4516.77345,2259.698199,4516.77345,51.902408,90_0_0.3_0.15_0.25_0_13.558423_17.758089_20.585896_4516.77345_2259.698199_4516.77345_51.902408.png
0.3,E,Hydr,0.15,None,0.25,4516.77345,2259.698199,4516.77345,27.898271,90_1_0.3_0.25_0.25_0_4.857429_5.925367_17.646136_5446.199066_2259.698199_5446.199066_28.428931.png
0.4,E,VAV,0.15,None,0.25,4949.524693,2455.321772,4949.524693,55.934269,90_0_0.4_0.15_0.25_0_14.78974_19.936329_21.2082_4949.524693_2455.321772_4949.524693_55.934269.png
0.4,E,Hydr,0.15,None,0.25,4949.524693,2455.321772,4949.524693,28.817531,90_1_0.4_0.15_0.25_0_4.272931_7.129925_17.414676_4949.524693_2455.321772_4949.524693_28.817531.png
0.5,E,VAV,0.15,None,0.25,5376.11081,2649.461644,5376.11081,59.951383,90_0_0.5_0.15_0.25_0_15.988822_22.138209_21.824352_5376.11081_2649.461644_5376.11081_59.951383.png
0.5,E,Hydr,0.15,None,0.25,5376.11081,2649.461644,5376.11081,29.757039,90_1_0.5_0.15_0.25_0_4.503218_7.701413_17.552408_5376.11081_2649.461644_5376.11081_29.757039.png
0.6,E,VAV,0.15,None,0.25,5798.023454,2842.57545,5798.023454,63.976067,90_0_0.6_0.15_0.25_0_17.158588_24.380289_22.43719_5798.023454_2842.57545_5798.023454_63.976067.png
0.6,E,Hydr,0.15,None,0.25,5798.023454,2842.57545,5798.023454,30.705022,90_1_0.6_0.15_0.25_0_4.730626_8.286994_17.687402_5798.023454_2842.57545_5798.023454_30.705022.png
0.7,E,VAV,0.15,None,0.25,6220.413592,3035.878562,6220.413592,67.964289,90_0_0.7_0.15_0.25_0_18.307994_26.60589_23.050404_6220.413592_3035.878562_6220.413592_67.964289.png
0.7,E,Hydr,0.15,None,0.25,6220.413592,3035.878562,6220.413592,31.665288,90_1_0.7_0.15_0.25_0_4.964196_8.876977_17.824115_6220.413592_3035.878562_6220.413592_31.665288.png
0.8,E,VAV,0.15,None,0.25,6709.608687,3212.723789,6709.608687,72.019629,90_0_0.8_0.15_0.25_0_19.641817_28.633392_23.74442_6709.608687_3212.723789_6709.608687_72.019629.png
0.8,E,Hydr,0.15,None,0.25,6709.608687,3212.723789,6709.608687,32.574245,90_1_0.8_0.15_0.25_0_5.300635_9.274898_17.998712_6709.608687_3212.723789_6709.608687_32.574245.png
0.2,E,VAV,0.25,None,0.25,4699.572864,2062.714785,4699.572864,51.572565,90_0_0.2_0.25_0.25_0_14.105524_16.670111_20.79693_4699.572864_2062.714785_4699.572864_51.572565.png
0.2,E,Hydr,0.25,None,0.25,4699.572864,2062.714785,4699.572864,27.353743,90_1_0.2_0.25_0.25_0_4.340087_5.630039_17.383617_4699.572864_2062.714785_4699.572864_27.353743.png
0.3,E,VAV,0.25,None,0.25,5446.199066,2259.698199,5446.199066,57.405789,90_0_0.3_0.25_0.25_0_16.228668_19.328971_21.848151_5446.199066_2259.698199_5446.199066_57.405789.png
0.3,E,Hydr,0.25,None,0.25,5446.199066,2259.698199,5446.199066,28.428931,90_1_0.3_0.25_0.25_0_4.857429_5.925367_17.646136_5446.199066_2259.698199_5446.199066_28.428931.png
0.4,E,VAV,0.25,None,0.25,6214.494584,2455.321772,6214.494584,63.433754,90_0_0.4_0.25_0.25_0_18.366994_22.135274_22.931485_6214.494584_2455.321772_6214.494584_63.433754.png
0.4,E,Hydr,0.25,None,0.25,6214.494584,2455.321772,6214.494584,29.558364,90_1_0.4_0.25_0.25_0_5.405998_6.235356_17.91701_6214.494584_2455.321772_6214.494584_29.558364.png
0.5,E,VAV,0.25,None,0.25,6973.034551,2649.461644,6973.034551,69.431802,90_0_0.5_0.25_0.25_0_20.416505_25.015019_24.000278_6973.034551_2649.461644_6973.034551_69.431802.png
0.5,E,Hydr,0.25,None,0.25,6973.034551,2649.461644,6973.034551,30.692908,90_1_0.5_0.25_0.25_0_5.941078_6.571164_18.180666_6973.034551_2649.461644_6973.034551_30.692908.png
0.6,E,VAV,0.25,None,0.25,7723.397422,2842.57545,7723.397422,75.437864,90_0_0.6_0.25_0.25_0_22.396726_27.977373_25.063766_7723.397422_2842.57545_7723.397422_75.437864.png
0.6,E,Hydr,0.25,None,0.25,7723.397422,2842.57545,7723.397422,31.832258,90_1_0.6_0.25_0.25_0_6.458795_6.930371_18.443092_7723.397422_2842.57545_7723.397422_31.832258.png
0.7,E,VAV,0.25,None,0.25,8468.306531,3035.878562,8468.306531,81.446438,90_0_0.7_0.25_0.25_0_24.329368_30.994563_26.122507_8468.306531_3035.878562_8468.306531_81.446438.png
0.7,E,Hydr,0.25,None,0.25,8468.306531,3035.878562,8468.306531,32.979972,90_1_0.7_0.25_0.25_0_6.970174_7.306725_18.703073_8468.306531_3035.878562_8468.306531_32.979972.png
0.8,E,VAV,0.25,None,0.25,9310.575916,3212.723789,9310.575916,87.657748,90_0_0.8_0.25_0.25_0_26.510071_33.84391_27.303767_9310.575916_3212.723789_9310.575916_87.657748.png
0.8,E,Hydr,0.25,None,0.25,9310.575916,3212.723789,9310.575916,34.146585,90_1_0.8_0.25_0.25_0_7.636278_7.498744_19.011562_9310.575916_3212.723789_9310.575916_34.146585.png
0.2,E,VAV,0.15,None,0.4,4133.014385,2328.264639,4133.014385,49.944692,90_0_0.2_0.15_0.4_0_12.454933_17.41762_20.072139_4133.014385_2328.264639_4133.014385_49.944692.png
0.2,E,Hydr,0.15,None,0.4,4133.014385,2328.264639,4133.014385,28.022316,90_1_0.2_0.15_0.4_0_3.721236_7.174093_17.126987_4133.014385_2328.264639_4133.014385_28.022316.png
0.3,E,VAV,0.15,None,0.4,4565.032291,2656.606975,4565.032291,54.913135,90_0_0.3_0.15_0.4_0_13.696404_20.500856_20.715875_4565.032291_2656.606975_4565.032291_54.913135.png
0.3,E,Hydr,0.15,None,0.4,4565.032291,2656.606975,4565.032291,29.512993,90_1_0.3_0.15_0.4_0_3.894907_8.361233_17.256852_4565.032291_2656.606975_4565.032291_29.512993.png
0.4,E,VAV,0.15,None,0.4,5008.75838,2981.175551,5008.75838,59.872742,90_0_0.4_0.15_0.4_0_14.953206_23.549456_21.37008_5008.75838_2981.175551_5008.75838_59.872742.png
0.4,E,Hydr,0.15,None,0.4,5008.75838,2981.175551,5008.75838,31.064694,90_1_0.4_0.15_0.4_0_4.091428_9.579246_17.394019_5008.75838_2981.175551_5008.75838_31.064694.png
0.5,E,VAV,0.15,None,0.4,5443.615392,3301.958254,5443.615392,64.795388,90_0_0.5_0.15_0.4_0_16.17072_26.608406_22.016263_5443.615392_3301.958254_5443.615392_64.795388.png
0.5,E,Hydr,0.15,None,0.4,5443.615392,3301.958254,5443.615392,32.648189,90_1_0.5_0.15_0.4_0_4.286568_10.829501_17.53212_5443.615392_3301.958254_5443.615392_32.648189.png
0.6,E,VAV,0.15,None,0.4,5872.398007,3619.533441,5872.398007,69.678298,90_0_0.6_0.15_0.4_0_17.349979_29.67285_22.655468_5872.398007_3619.533441_5872.398007_69.678298.png
0.6,E,Hydr,0.15,None,0.4,5872.398007,3619.533441,5872.398007,34.245526,90_1_0.6_0.15_0.4_0_4.480335_12.097025_17.668166_5872.398007_3619.533441_5872.398007_34.245526.png
0.7,E,VAV,0.15,None,0.4,6299.254775,3935.192813,6299.254775,74.534181,90_0_0.7_0.15_0.4_0_18.512924_32.729143_23.292114_6299.254775_3935.192813_6299.254775_74.534181.png
0.7,E,Hydr,0.15,None,0.4,6299.254775,3935.192813,6299.254775,35.850652,90_1_0.7_0.15_0.4_0_4.677638_13.367337_17.805677_6299.254775_3935.192813_6299.254775_35.850652.png
0.8,E,VAV,0.15,None,0.4,6781.646094,4231.63705,6781.646094,79.418628,90_0_0.8_0.15_0.4_0_19.824528_35.595433_23.998666_6781.646094_4231.63705_6781.646094_79.418628.png
0.8,E,Hydr,0.15,None,0.4,6781.646094,4231.63705,6781.646094,37.325621,90_1_0.8_0.15_0.4_0_4.95404_14.404488_17.967092_6781.646094_4231.63705_6781.646094_37.325621.png
0.2,E,VAV,0.25,None,0.4,4742.348325,2328.264639,4742.348325,53.696945,90_0_0.2_0.25_0.4_0_14.300872_18.455904_20.940168_4742.348325_2328.264639_4742.348325_53.696945.png
0.2,E,Hydr,0.25,None,0.4,4742.348325,2328.264639,4742.348325,28.275438,90_1_0.2_0.25_0.4_0_4.231107_6.679134_17.365197_4742.348325_2328.264639_4742.348325_28.275438.png
0.3,E,VAV,0.25,None,0.4,5502.668065,2656.606975,5502.668065,60.5202,90_0_0.3_0.25_0.4_0_16.464626_22.018569_22.037005_5502.668065_2656.606975_5502.668065_60.5202.png
0.3,E,Hydr,0.25,None,0.4,5502.668065,2656.606975,5502.668065,29.842335,90_1_0.3_0.25_0.4_0_4.689203_7.532878_17.620254_5502.668065_2656.606975_5502.668065_29.842335.png
0.4,E,VAV,0.25,None,0.4,6281.873531,2981.175551,6281.873531,67.53721,90_0_0.4_0.25_0.4_0_18.634059_25.73965_23.163501_6281.873531_2981.175551_6281.873531_67.53721.png
0.4,E,Hydr,0.25,None,0.4,6281.873531,2981.175551,6281.873531,31.472237,90_1_0.4_0.25_0.4_0_5.175268_8.412418_17.88455_6281.873531_2981.175551_6281.873531_31.472237.png
0.5,E,VAV,0.25,None,0.4,7047.509182,3301.958254,7047.509182,74.460386,90_0_0.5_0.25_0.4_0_20.700557_29.48874_24.27109_7047.509182_3301.958254_7047.509182_74.460386.png
